TimesheetID,Date,ConsultantID,ProjectID,Hours,IsBillable
TS0000001,2024-01-12,C029,P023,5.7,1
TS0000002,2024-01-15,C029,P023,8.7,1
TS0000003,2024-01-16,C029,P023,6.4,1
TS0000004,2024-01-16,C030,P023,7.3,1
TS0000005,2024-01-17,C029,P023,5.1,1
TS0000006,2024-01-18,C030,P023,5.8,1
TS0000007,2024-01-18,C029,P023,4.9,1
TS0000008,2024-01-19,C030,P023,7.9,1
TS0000009,2024-01-19,C029,P023,6.1,1
TS0000010,2024-01-22,C030,P023,5.8,1
TS0000011,2024-01-23,C029,P023,8.9,1
TS0000012,2024-01-23,C030,P023,5.9,1
TS0000013,2024-01-24,C029,P023,6.6,1
TS0000014,2024-01-25,C029,P023,1.1,0
TS0000015,2024-01-26,C029,P023,6.3,1
TS0000016,2024-01-26,C030,P023,4.6,1
TS0000017,2024-01-29,C029,P023,6.7,1
TS0000018,2024-01-30,C029,P023,5.8,1
TS0000019,2024-01-30,C030,P023,3.8,1
TS0000020,2024-01-31,C030,P023,1.1,0
TS0000021,2024-02-01,C030,P023,7.1,1
TS0000022,2024-02-01,C029,P023,7.7,1
TS0000023,2024-02-02,C029,P023,1.8,0
TS0000024,2024-02-05,C029,P023,8.3,1
TS0000025,2024-02-06,C030,P023,5.6,1
TS0000026,2024-02-07,C029,P023,5.6,1
TS0000027,2024-02-08,C030,P023,6.2,1
TS0000028,2024-02-08,C029,P023,6.2,1
TS0000029,2024-02-09,C030,P023,4.1,1
TS0000030,2024-02-09,C029,P023,3.2,1
TS0000031,2024-02-12,C025,P015,4.3,1
TS0000032,2024-02-12,C016,P015,3.6,1
TS0000033,2024-02-12,C026,P015,7.2,1
TS0000034,2024-02-12,C004,P015,5.7,1
TS0000035,2024-02-12,C029,P023,5.8,1
TS0000036,2024-02-12,C030,P023,8.1,1
TS0000037,2024-02-13,C026,P015,6.4,1
TS0000038,2024-02-13,C004,P015,7.7,1
TS0000039,2024-02-13,C029,P023,5.6,1
TS0000040,2024-02-14,C030,P023,6.7,1
TS0000041,2024-02-14,C025,P015,0.7,0
TS0000042,2024-02-14,C004,P015,4.2,1
TS0000043,2024-02-14,C016,P015,4.6,1
TS0000044,2024-02-15,C026,P015,6.7,1
TS0000045,2024-02-15,C029,P023,3.2,1
TS0000046,2024-02-15,C030,P023,6.5,1
TS0000047,2024-02-16,C029,P023,5.6,1
TS0000048,2024-02-16,C016,P015,6.4,1
TS0000049,2024-02-19,C004,P015,6.8,1
TS0000050,2024-02-19,C029,P023,9.1,1
TS0000051,2024-02-19,C030,P023,7.6,1
TS0000052,2024-02-20,C025,P015,5.0,1
TS0000053,2024-02-20,C029,P023,7.4,1
TS0000054,2024-02-20,C030,P023,7.1,1
TS0000055,2024-02-21,C026,P015,6.0,1
TS0000056,2024-02-21,C016,P015,2.2,1
TS0000057,2024-02-21,C004,P015,5.2,1
TS0000058,2024-02-21,C025,P015,7.9,1
TS0000059,2024-02-21,C029,P023,5.2,1
TS0000060,2024-02-22,C030,P023,6.2,1
TS0000061,2024-02-22,C029,P023,6.9,1
TS0000062,2024-02-22,C026,P015,5.3,1
TS0000063,2024-02-23,C026,P015,7.0,1
TS0000064,2024-02-23,C004,P015,6.6,1
TS0000065,2024-02-23,C016,P015,4.4,1
TS0000066,2024-02-23,C029,P023,5.0,1
TS0000067,2024-02-26,C029,P023,7.3,1
